model	split	source_file	metric_path	value	source_directory
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.p95	1.9804494485024293	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.ci95_low_t	0.950284903612453	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.ci95_high_t	0.9759474350220687	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.ci95_low_boot	0.9504660101314111	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.ci95_high_boot	0.9762219407736178	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.rotation_error_deg.n	6676	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.mean	10.137197044516396	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.median	6.469631729494928	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.std	13.058305815209692	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.p5	1.4908976196641504	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.p95	30.24198263464946	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.ci95_low_t	9.823951615331046	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.ci95_high_t	10.450442473701747	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.ci95_low_boot	9.834468590170907	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	pose_comprehensive_metrics.json	aggregated_with_ci.translation_angular_deg.ci95_high_boot	10.449599063709854	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
